#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer,,
name,userx,OperatingSystemVersion
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (17134)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18363)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 8.1 Pro,6.3 (9600)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18363)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18362)
COMPUTERX,Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18362)
"COMPUTERX
CNF:84704046-ddaa-4460-9f7d-1e6d17632441",Windows 7 Professional,6.1 (7601)
COMPUTERX,Windows 10 Pro,10.0 (18362)
