PSComputerName,userx,__CLASS,userx,__DYNASTY,userx,__PROPERTY_COUNT,userx,__SERVER,userx,__PATH,userx,Caption,userx,HelpLink,userx,IdentifyingNumber,userx,InstallDate2,userx,InstallSource,userx,Language,userx,Name,userx,PackageCode,userx,ProductID,userx,RegOwner,userx,Transforms,userx,URLUpdateInfo,userx,Version,WordCount
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Name,userx,Make,userx,Publisher,userx,Version,Install Date,Family Name,userx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3060,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3060,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx1,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx1,Dell Inc.,OptiPlex 3060,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 390,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office 365 ProPlus - en-us,userx,NULL,Productivity and Viewers,Office Suites and Productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office Standard 2013,userx,20181110,userx,Not Identified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3020,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3050,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTERX,DOMAIN\\userx,Dell Inc.,OptiPlex 3050,Microsoft Corporation,Microsoft Office Standard 2013,userx,NULL,userx,E-mail and Collaboration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
